Noun,freq
이민우,17
수화물,17
우주,17
부암동,17
도널드,17
국제공항,17
대체복무제,17
담양군,17
지적도,16
고비,16
약품,16
창궐,16
여기저기,16
안성,16
체류,16
석탄,16
트,16
해먹,16
려고,16
상탭니,16
스피드,16
달인,16
황금,16
한참,16
익,16
부근,16
네트워크,16
누군가,16
한시,16
중국요리,16
광역시,16
허락,16
아이스,16
한눈,16
밀폐,16
아시,16
체크,16
탈출,16
전하,16
선발,16
엉덩이,16
성북구,16
울,16
월급,16
홍희,16
본회의,16
일방,16
증명서,16
콩고기,16
시장조사,16
육회,16
국무총리,16
정치권,16
담합,16
주춤,16
보수,16
당면,16
출동,16
당신,16
그날,16
치인,16
상무,16
환영,16
고등학생,16
인원,16
수산시장,16
기조,16
증정,16
잔류,16
스팸,16
단어,16
본부장,16
화장실,16
대다수,16
제정,16
군납,16
체육,16
대요,16
꽁꽁,16
임승창,16
신용카드,16
환급,16
불이익,16
펀치,16
식약청,16
술집,16
동행,16
민정,16
법무,16
간부,16
운행,16
수출입,16
수혜,16
반도체,16
식욕,16
최규식,16
국가부도,16
캠프,16
실업률,16
직업,16
이희경,16
스타일,16
입법,16
안내,16
폐암,16
위법,16
이의,16
상공,16
산도,16
솥,16
음료수,16
김민철,16
임종,16
틴,16
불포화지방산,16
격상,16
도료,16
전담,16
디,16
근본,16
춘절,16
누리,16
이보,16
콜라겐,16
방울토마토,16
저하,16
양구,16
핫도그,16
데리,16
칼륨,16
관람객,16
볼거리,16
변형,16
진종오,16
도마,16
이사,16
함부로,16
하우스,16
초코파이,16
박지선,16
휴식,16
여지,16
북어,16
소녀,16
악용,16
효소,16
갈색,16
임의,16
미가,16
자원부,16
망고,16
슬,16
내용물,16
성도,16
김씨,16
식품첨가물,16
북도,16
오일,16
효용,16
가오,16
식빵,16
전기장판,16
상봉,16
파리니,16
박효,16
이낙연,16
코스트코,16
하이난성,16
조휴,16
요원,15
김세정,15
김포시,15
길목,15
추이,15
일각,15
동이,15
반품,15
이병도,15
드릴,15
불로,15
가격표,15
코스,15
독,15
바깥,15
체질,15
책정,15
불균형,15
떼,15
멸종,15
맘,15
아나운서,15
용인시,15
동참,15
귀국,15
칼집,15
녹차,15
화해,15
센트,15
세브란스병원,15
단축,15
제때,15
기량,15
길거리,15
금융위기,15
기준금리,15
보신,15
대기,15
천안,15
제곱미터,15
이명박,15
충돌,15
전지,15
검거,15
신세계,15
뉴질랜드,15
소비재,15
형편,15
바지락,15
모락모락,15
짚,15
불길,15
초등학생,15
격,15
돌입,15
건국대,15
마이너스,15
폭리,15
분기,15
파장,15
영양가,15
입안,15
당황,15
용이,15
연한,15
시안,15
다변,15
일일,15
참외,15
항소,15
사안,15
간판,15
사무실,15
송파구,15
야당,15
버무린,15
억,15
단일,15
오피스텔,15
유아,15
황정,15
무역수지,15
승,15
조속,15
이승윤,15
열정,15
상식,15
황제,15
질감,15
주차,15
공부,15
소송,15
상환,15
애초,15
금융업,15
중고차,15
연중,15
새우젓,15
분리,15
랭,15
소화도,15
갖가지,15
억대,15
첫째,15
특,15
병사,15
춘천시,15
광장,15
해바라기,15
초동,15
기원,15
서양,15
고지혈증,15
재현,15
개막,15
오빠,15
금메달,15
놀이,15
돼지껍질,15
복권,15
돈자,15
방금,15
다해,15
소화기,15
제목,15
바코드,15
조회,15
해독,15
대용,15
농업부,15
분명,15
이로,15
가리비,15
지름,15
홍석우,15
선거법,15
로스,15
청도,15
은평구,15
불법행위,15
잠복기,15
실온,15
토크,15
국영,15
채권,15
이슬람교,15
민원,15
용병,15
영어,15
수류탄,15
금감원,15
물기,15
리커창,15
량피,15
우간다,15
클리어,15
선포,15
라이스,15
캐시,15
윤동주,15
사무,15
지역화폐,15
속출,14
할인점,14
종종,14
부탁,14
자식,14
여명,14
트위터,14
파마,14
손상,14
플라스틱,14
봉투,14
인권,14
찰떡,14
어보,14
겨자,14
인프라,14
천백,14
단감,14
양재,14
농협유통,14
예방접종,14
죽음,14
머,14
귤,14
재활용,14
코앞,14
대결,14
방울,14
개념,14
그릴,14
가도,14
거래소,14
세운,14
컴퓨터,14
곶감,14
마장동,14
종전,14
종자,14
변동성,14
중구,14
조약,14
승인,14
물리,14
마켓,14
고공,14
우둔,14
부여,14
고루,14
수입물량,14
절약,14
잡채,14
성사,14
주도,14
토로,14
고령자,14
가락시장,14
지진,14
정화,14
노소,14
나기,14
전원,14
체코,14
신장,14
아질산나트륨,14
김준호,14
녀석,14
