Noun,Freq
걸,77
고생,77
골자,77
단기,77
환돈,77
이사회,77
베링,77
확정,76
아침,76
유기,76
시사,76
율도,76
취지,76
므,76
삶,76
보조금,76
호도,76
대하,76
벽,76
현저,76
관건,76
맥스,76
돕기,76
결의,76
발굴,76
거치,76
탕박돈,76
수수료,75
용역,75
특단,75
아이피,75
매월,75
의뢰,75
중시,75
숙제,75
점도,75
이면,75
규칙,75
개시,75
지인,75
감염증,75
구충,75
불금,74
일도,74
총괄,74
유속,74
농수산,74
류,74
저해,74
트리나,74
수질,74
부처,74
실효,74
직거래,74
운반,74
마이코,74
행위,74
어쩌면,74
홍성,74
산출,74
분할,74
환산,74
근육,74
총력,74
주일,74
계통,74
혈통,74
그로,73
산성,73
감정,73
간호,73
잡고,73
설득,73
군사,73
무리,73
테마,73
진천,73
배송,73
행복,73
둘,73
성의,73
무료,73
여행객,73
담보,73
박람회,73
신년,73
일치,72
대다수,72
염려,72
일조,72
공격,72
가성,72
전통,72
판,72
책정,72
의결,72
만족,72
신선도,72
과감,72
기생충,72
과연,72
간격,72
하늘,72
터,71
바이,71
팬,71
고통,71
행락,71
오늘날,71
백화점,71
먹이,71
용의,71
리더,71
행진,71
차액,71
전문화,70
부계,70
생후,70
다수,70
북,70
막바지,70
영역,70
후반,70
정성,70
부가가치,70
일주일,70
애로,70
이론,70
아르헨티나,70
수분,70
등세,70
배치,70
인재,70
빈도,70
휀,70
계해,69
동물성,69
순간,69
산업화,69
투자가,69
사내,69
거인,69
직영,69
확,69
수년,69
승계,69
부작용,69
수출량,69
폐기,69
연일,68
탄생,68
소리,68
방,68
개설,68
창립,68
판로,68
증량,68
출금,68
인터넷,68
필드,68
래야,68
청결,68
정비,68
여행,68
벌,68
등장,67
선전,67
모처럼,67
안성,67
대용,67
장담,67
상장,67
발령,67
공무원,67
도출,67
좀처럼,67
품,67
고령,67
기점,67
구조조정,67
집행,67
겔,67
오리고기,67
에어컨,67
잘못,67
불신,67
웃,66
방류,66
간다,66
신종,66
확충,66
드,66
여개,66
폐기물,66
평소,66
확신,66
알리,66
먹기,66
교,66
준공,66
무분별,66
홈페이지,66
충남도,66
상한,66
동력,66
돌이,66
지불,66
라보,66
윈,66
