Date,TF_IDF
2019.12.13,"[0.033892004593898545, 0.04162590394118124, 0.04296554086657878, 0.04080298616428507, 0.04902485366272601, 0.2753533165696138, 0.0484124453825248, 0.2768734256869892, 0.08648773324969096, 0.14932852840854208, 0.06604524541483657, 0.10301964372938203, 0.12287146674852083, 0.04585389719296705, 0.04372331235836186, 0.11526890961721822, 0.32233448813056703, 0.22230171427872628, 0.05536148644710009, 0.036406779077411085, 0.11475523662068624, 0.1551996634646235, 0.20126378375638565, 0.1264556511185713, 0.12226907263199413, 0.05997055108883859, 0.08543749561484983, 0.09478843239917341, 0.06567203874456934, 0.07277662031719428, 0.12379131044455806, 0.06284635674778442, 0.15358405236565265, 0.06966065173165291, 0.06395488853871265, 0.07683909755788632, 0.05685787196123006, 0.06914654402906142, 0.06279241376766106, 0.13375395596457224, 0.4196722453676728, 0.0865564116538647, 0.07356525193484509, 0.09302471987821315, 0.07243526203839529, 0.09091067123144482, 0.2982819452280957, 0.22746893980289792, 0.07914480025791229, 0.10872061034685855, 0.07602236864982138]"
2019.12.13,"[0.055596558009943536, 0.06052433882365711, 0.44683485427574976, 0.0710658928614468, 0.10272251393210427, 0.07350901448188442, 0.09905880864859791, 0.1746659694087478, 0.1219151981233557, 0.08967167421774677, 0.1547112430904022, 0.1111717547916046, 0.13526927578826367, 0.3060942862568525, 0.15186007603483334, 0.13995346302644826, 0.13941470081240676, 0.15246715246419856, 0.10136696825718709, 0.1653793678763209, 0.2020016365656389, 0.21515395726751718, 0.07956735383803397, 0.13589348172517934, 0.14938271172520945, 0.1474576653932001, 0.09377004758084552, 0.17128202045126095, 0.14549187199687066, 0.22893684479548237, 0.1859351922426366, 0.22007884043766074, 0.23047931511171335, 0.1852565428944147]"
2019.12.13,"[0.3283174400242573, 0.19068164721999523, 0.07571687660687136, 0.14246664069836648, 0.28606082443857883, 0.3751818640613324, 0.10994661114571458, 0.19103286843585174, 0.18407271350287752, 0.06300197237822686, 0.13717685905166568, 0.23926653989156313, 0.2829779614101518, 0.5601435342124843, 0.10491734044549733, 0.19970329068210907]"
2019.12.12,"[0.047727836702397435, 0.08284207579455279, 0.12786439617358006, 0.07326928108052502, 0.18075818156497334, 0.33725184322126983, 0.11642971668959182, 0.4632941850447363, 0.0712017236479885, 0.10343024566582844, 0.10684823572662576, 0.09362653798237036, 0.1751813257623019, 0.1123974493169997, 0.2927279341934298, 0.5434218855284099, 0.11666013395181005, 0.34735228686033326]"
2019.12.11,"[0.41486097439523034, 0.24094478185237472, 0.09567562784654157, 0.3614656362882324, 0.31605248401953784, 0.13892822211331393, 0.2413885839721395, 0.232593752186103, 0.07960911137623844, 0.17333628517098126, 0.3023365127123776, 0.35757013941847804, 0.3538978806416894, 0.13257325009892643]"
2019.12.11,"[0.03680431040661433, 0.07032963252211437, 0.08940035163566647, 0.3734338634180907, 0.4448132650987708, 0.08220217301135338, 0.12340030800827677, 0.12765667818479412, 0.0847768356279757, 0.08442927794421436, 0.10522631561696255, 0.1836696909153855, 0.08719347219129545, 0.11433580382234841, 0.26639998842790164, 0.3143807776411819, 0.08713082574035902, 0.09502099899821347, 0.13860377849810773, 0.5698070548730259]"
2019.12.11,"[0.07930834872889955, 0.1725913512670997, 0.12550899668120372, 0.059346469688840955, 0.054712416552035265, 0.054696402122264134, 0.13147411339934878, 0.06138734263288153, 0.059195348438789784, 0.06967141062374856, 0.3976380005848334, 0.054635204127001694, 0.05142901204542357, 0.32597053026755624, 0.38104141652199963, 0.13942983932087405, 0.0753782398837869, 0.10207244332426559, 0.13754536330257616, 0.08764870155336758, 0.07954144186966493, 0.06864656600496809, 0.514539767483757, 0.11196912740991558, 0.3436874813834539, 0.15957611414062614]"
2019.12.11,"[0.042705251006569495, 0.014109984277705587, 0.030722265532641613, 0.03824090462155138, 0.04484338996427026, 0.0615534744751723, 0.04460992090088356, 0.04061004797355744, 0.2418619440346758, 0.04587611761907041, 0.04853643337960251, 0.06915316294286256, 0.03811923299801106, 0.040379043579252136, 0.0319354839114168, 0.1340893736430229, 0.023137268885126017, 0.21132137335430123, 0.07487744774367723, 0.05250943677136131, 0.04493213613181182, 0.22792109862264842, 0.6689208948342069, 0.459327241241641, 0.36103918276900865]"
2019.12.10,"[0.3535454168060045, 0.09622044674281187, 0.20533366256348698, 0.08153497632427728, 0.3080417945526573, 0.20571187168677307, 0.19821689707734952, 0.14771755592994526, 0.25765182796090047, 0.2031480291477944, 0.6031850737496904, 0.22595841911559897, 0.1976401758622235, 0.23877855201094245]"
2019.12.10,"[0.11985106859908373, 0.06835648889537636, 0.3244847411610459, 0.1540446003212193, 0.04894386128116752, 0.48159505975720657, 0.2266073045467348, 0.07715360497508288, 0.07863251127386614, 0.0844111449411822, 0.4204342672023611, 0.061129436763439585, 0.2564107586462743, 0.13262748783994485, 0.17615590341591156, 0.1654326557751555, 0.19264818435268116, 0.08771686051294593, 0.08230552405651151, 0.07645911011309384, 0.1763983483322712, 0.18451553927395212, 0.09847355772879068, 0.09998608653583702, 0.13931172248246243, 0.18104720717604117, 0.11746817794482561, 0.09998608653583702, 0.08061303772131849]"
